Row Type,Action,Ad group status,Keyword status,Ad status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Keyword,Negative keyword,Type,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,håndbygging keramikk kurs,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,håndbygging keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,lage bolle keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,lag din egen kaffekopp,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,keramikkurs en kveld,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,keramikk workshop tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Ad,Add,,,Enabled,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,,,,Responsive search ad,Plateteknikk og håndbygging,Lag din egen bolle på én kveld,Store fat med plateteknikk,Fransk smørklokke for hånd,Ingen forkunnskaper,Alt utstyr inkludert,Keramikkurs på Teie,Book med Vipps i dag,Leire og brenning inkludert,Keramikkurs i Tønsberg,"Kjevle ut leira og form din egen bolle eller et stort fat. Leire, glasur og brenning med.",Én kveld – ferdig ting hjem etter brenning. Små grupper og veiledning hele veien.,Plateteknikk og håndbygging i keramikkverkstedet på Teie ved Tønsberg. Se ledige datoer.,Bygg en fransk smørklokke i to deler på én kveld. Håndbygging for nybegynnere.,kurs,plateteknikk,https://lissom.no/kurs
Ad group,Add,Enabled,,,,24249319399,Lissom søk,,Paint on Pots,Standard,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,paint on pots,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,paint on pots tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,paint on pots vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,male keramikk tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,male keramikk selv,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,male kopp keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,aktivitet for barn tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,pottery painting tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Ad,Add,,,Enabled,,24249319399,Lissom søk,,Paint on Pots,,,,,Responsive search ad,Paint on Pots i Tønsberg,Mal din egen keramikk,Vi glaserer og brenner,Barn fra 6 år med voksen,Ingen forkunnskaper,Drop-in på Teie,Book plass med Vipps,Klar etter to til fire uker,Paint on Pots hos Lissom,Populært for familier,Velg en ferdigbrent kopp eller skål og mal den slik du vil. Vi glaserer og brenner.,Den enkleste måten å ta med seg noe hjem fra verkstedet. Ingen leire på fingrene.,Drop-in innenfor åpningstidene på Teie ved Tønsberg. Book plass på nettsiden.,Passer for barn fra 6 år sammen med en voksen – og for venninnekvelden og bursdagen.,paint-on-pots,tonsberg,https://lissom.no/paint-on-pots
Ad group,Add,Enabled,,,,24249319399,Lissom søk,,Medlemskap,Standard,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Medlemskap,,keramikkverksted tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Medlemskap,,keramikk verksted medlemskap,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Medlemskap,,keramikkverksted vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Medlemskap,,leie dreieskive,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Medlemskap,,keramikk atelier tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Medlemskap,,keramikk fellesverksted,,Phrase match,,,,,,,,,,,,,,,,,,
Ad,Add,,,Enabled,,24249319399,Lissom søk,,Medlemskap,,,,,Responsive search ad,Medlemskap i keramikkverksted,Egen hylle og dørkode 24/7,Verkstedet er ditt,Prøv én måned uten binding,Dreieskiver og ovn på Teie,Jobb med egne prosjekter,Keramikkverksted i Tønsberg,Bli medlem hos Lissom,Timer i verkstedet hver måned,Fem minutter fra Tønsberg,Bli medlem i keramikkverkstedet på Teie: egen hylle og personlig dørkode døgnet rundt.,Fire medlemskap – fra prøvemåned uten binding til årsavtale med flest timer. Se prisene.,For deg som har tatt kurs og vil videre – eller som har dreid før og mangler et sted.,"Dreieskiver, verktøy og brenning i ovnen. Et verksted der det alltid er noen å spørre.",medlemskap,tonsberg,https://lissom.no/medlemskap
Ad group,Add,Enabled,,,,24249319399,Lissom søk,,Bedrift og teambuilding,Standard,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,teambuilding tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,teambuilding vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,utdrikningslag tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,utdrikningslag aktivitet vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,date night tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,bedriftsevent tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,firmagave keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Bedrift og teambuilding,,kopper med logo,,Phrase match,,,,,,,,,,,,,,,,,,
Ad,Add,,,Enabled,,24249319399,Lissom søk,,Bedrift og teambuilding,,,,,Responsive search ad,Teambuilding med keramikk,Samle gjengen rundt dreieskiva,Utdrikningslag i Tønsberg,Bedriftsevent på Teie,6–16 personer – alt inkludert,Keramikk med bedriftens logo,Vi skreddersyr kvelden,Send en forespørsel i dag,Laget for Grenseløs og Kepler,Kopper med eget motiv,"Private events for 6–16 personer: teambuilding, utdrikningslag, bursdager. Alt inkludert.",Kopper og servise med bedriftens eget motiv. Laget for Grenseløs og Kepler Bilservice.,"To timer ved dreieskiva eller med plateteknikk. Vi dekker langbordet, dere tar med maten.","Send en forespørsel, så svarer vi raskt med pris og dato. Fem minutter fra Tønsberg.",bedrift,teambuilding,https://lissom.no/bedrift
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,tredreier,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,tredreiing,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,tredreiekurs,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,treskjæring,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,oslo,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,drammen,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,bergen,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,trondheim,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,stavanger,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,gratis,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,jobb,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,ledig stilling,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,utdanning,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,fagbrev,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,kjøpe leire,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,leire pris,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,blåleire,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,keramikkovn,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,ovn til salgs,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,youtube,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,video,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,wikipedia,Phrase match,,,,,,,,,,,,,,,,,,
Ad group,Edit,Paused,,,,24249319399,Lissom søk,200171666797,Annonsegruppe 1,,,,,,,,,,,,,,,,,,,,,,
